27/02/2024,"-1200.00","Transfer to other Bank CommBank app House renting fee","+4736.84"
13/02/2024,"-1200.00","Transfer to other Bank CommBank app House renting fee","+75.84"
30/01/2024,"-1200.00","Transfer to other Bank CommBank app House renting fee","+0.33"
16/01/2024,"-1200.00","Transfer to other Bank CommBank app House renting fee","+40.28"
02/01/2024,"-1200.00","Transfer to other Bank CommBank app House renting fee","+40.09"
20/12/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+0.09"
05/12/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+930.26"
21/11/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+247.66"
07/11/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+6.66"
24/10/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+33.16"
10/10/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+874.35"
26/09/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+61.23"
12/09/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+41.33"
29/08/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+425.81"
15/08/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+273.47"
01/08/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+427.45"
18/07/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+196.87"
04/07/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+159.56"
20/06/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+73.11"
07/06/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+345.66"
23/05/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+179.56"
09/05/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+44.44"
25/04/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+334.02"
11/04/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+726.96"
28/03/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+968.35"
14/03/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+1087.41"
28/02/2023,"-1200.00","Transfer to other Bank CommBank app House renting fee","+1561.65"
